Proposal,ID,Stakes,Wealth,Model,Proportion,Temperature,Month
1,1,20,0,Gemini-1.5-Pro,0.05,1,March
2,1,20,0,Gemini-1.5-Pro,0.1,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
30,2,200,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
200,3,2000,0,Gemini-1.5-Pro,0.1,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
200,3,2000,0,Gemini-1.5-Pro,0.1,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
200,3,2000,0,Gemini-1.5-Pro,0.1,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
200,3,2000,0,Gemini-1.5-Pro,0.1,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
200,3,2000,0,Gemini-1.5-Pro,0.1,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
200,3,2000,0,Gemini-1.5-Pro,0.1,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
200,3,2000,0,Gemini-1.5-Pro,0.1,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
300,3,2000,0,Gemini-1.5-Pro,0.15,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
100,4,20000,0,Gemini-1.5-Pro,0.005,1,March
