Proposal,ID,Stakes,Wealth,Model,Proportion,Temperature,Month,Framing,Human_Emphasis
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
0,1,20,493,GPT-3.5,0.0,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
10,1,20,493,GPT-3.5,0.5,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
0,1,20,493,GPT-3.5,0.0,1,February,2,0
0,1,20,493,GPT-3.5,0.0,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
1,1,20,493,GPT-3.5,0.05,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
10,2,200,493,GPT-3.5,0.05,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
50,2,200,493,GPT-3.5,0.25,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
1,2,200,493,GPT-3.5,0.005,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
5,2,200,493,GPT-3.5,0.025,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
1,2,200,493,GPT-3.5,0.005,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
1,2,200,493,GPT-3.5,0.005,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
1,2,200,493,GPT-3.5,0.005,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
10,2,200,493,GPT-3.5,0.05,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
90,2,200,493,GPT-3.5,0.45,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
10,2,200,493,GPT-3.5,0.05,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
1,2,200,493,GPT-3.5,0.005,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
10,2,200,493,GPT-3.5,0.05,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
0,2,200,493,GPT-3.5,0.0,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
1,2,200,493,GPT-3.5,0.005,1,February,2,0
100,2,200,493,GPT-3.5,0.5,1,February,2,0
500,3,2000,493,GPT-3.5,0.25,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
10,3,2000,493,GPT-3.5,0.005,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
50,3,2000,493,GPT-3.5,0.025,1,February,2,0
3,3,2000,493,GPT-3.5,0.0015,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
800,3,2000,493,GPT-3.5,0.4,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
986,3,2000,493,GPT-3.5,0.493,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
999,3,2000,493,GPT-3.5,0.4995,1,February,2,0
999,3,2000,493,GPT-3.5,0.4995,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
500,3,2000,493,GPT-3.5,0.25,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
700,3,2000,493,GPT-3.5,0.35,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
500,3,2000,493,GPT-3.5,0.25,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
985,3,2000,493,GPT-3.5,0.4925,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
995,3,2000,493,GPT-3.5,0.4975,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
900,3,2000,493,GPT-3.5,0.45,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
999,3,2000,493,GPT-3.5,0.4995,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
500,3,2000,493,GPT-3.5,0.25,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
700,3,2000,493,GPT-3.5,0.35,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
100,3,2000,493,GPT-3.5,0.05,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
999,3,2000,493,GPT-3.5,0.4995,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
0,3,2000,493,GPT-3.5,0.0,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
50,3,2000,493,GPT-3.5,0.025,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
900,3,2000,493,GPT-3.5,0.45,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
1000,3,2000,493,GPT-3.5,0.5,1,February,2,0
150,3,2000,493,GPT-3.5,0.075,1,February,2,0
0,4,20000,493,GPT-3.5,0.0,1,February,2,0
10000,4,20000,493,GPT-3.5,0.5,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
9500,4,20000,493,GPT-3.5,0.475,1,February,2,0
10000,4,20000,493,GPT-3.5,0.5,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
9500,4,20000,493,GPT-3.5,0.475,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
9999,4,20000,493,GPT-3.5,0.49995,1,February,2,0
10000,4,20000,493,GPT-3.5,0.5,1,February,2,0
10000,4,20000,493,GPT-3.5,0.5,1,February,2,0
10000,4,20000,493,GPT-3.5,0.5,1,February,2,0
100,4,20000,493,GPT-3.5,0.005,1,February,2,0
700,4,20000,493,GPT-3.5,0.035,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
1,4,20000,493,GPT-3.5,5e-05,1,February,2,0
10000,4,20000,493,GPT-3.5,0.5,1,February,2,0
10000,4,20000,493,GPT-3.5,0.5,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
10000,4,20000,493,GPT-3.5,0.5,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
10000,4,20000,493,GPT-3.5,0.5,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
10000,4,20000,493,GPT-3.5,0.5,1,February,2,0
500,4,20000,493,GPT-3.5,0.025,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
200,4,20000,493,GPT-3.5,0.01,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
10000,4,20000,493,GPT-3.5,0.5,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
6000,4,20000,493,GPT-3.5,0.3,1,February,2,0
7000,4,20000,493,GPT-3.5,0.35,1,February,2,0
10000,4,20000,493,GPT-3.5,0.5,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
9000,4,20000,493,GPT-3.5,0.45,1,February,2,0
9999,4,20000,493,GPT-3.5,0.49995,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
10000,4,20000,493,GPT-3.5,0.5,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
8000,4,20000,493,GPT-3.5,0.4,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
10000,4,20000,493,GPT-3.5,0.5,1,February,2,0
500,4,20000,493,GPT-3.5,0.025,1,February,2,0
9999,4,20000,493,GPT-3.5,0.49995,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
10000,4,20000,493,GPT-3.5,0.5,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
7000,4,20000,493,GPT-3.5,0.35,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
7000,4,20000,493,GPT-3.5,0.35,1,February,2,0
9000,4,20000,493,GPT-3.5,0.45,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
0,4,20000,493,GPT-3.5,0.0,1,February,2,0
1000,4,20000,493,GPT-3.5,0.05,1,February,2,0
5000,4,20000,493,GPT-3.5,0.25,1,February,2,0
